Created on 11-22-2020,
Unix Timestamp,Volume USD
1499299200,1897794.45
1499212800,3480565.58
1499126400,3773456.94
1499040000,4295505.38
1498953600,3010965.92
1498867200,1515589.43
1498780800,2041670.29
1498694400,2266074.77
1498608000,2988786.25
1498521600,5246966.02
1498435200,7550265.01
1498348800,4837565.92
1498262400,3829041.81
1498176000,1808912.12
1498089600,4093991.78
1498003200,6527213.05
1497916800,7281301.49
1497830400,5737020.78
1497744000,6523310.86
1497657600,8893309.13
1497571200,5335027.39
1497484800,7645621.75
1497398400,7123970.19
1497312000,6494994.23
1497225600,13300542.34
1497139200,10985603.48
1497052800,7009867.09
1496966400,6527169.64
1496880000,7962351.76
1496793600,10656504.52
1496707200,8925683.66
1496620800,9132394.81
1496534400,3943848.69
1496448000,5557206.44
1496361600,7985146.76
1496275200,9302868.74
1496188800,11243733.2
1496102400,7630527.18
1496016000,9367931.33
1495929600,13482187.03
1495843200,16367221.56
1495756800,20693361.17
1495670400,22500248.02
1495584000,22978508.67
1495497600,18014940.02
1495411200,16319744.87
1495324800,8440326.47
1495238400,8925649.82
1495152000,7120060.41
1495065600,7216847.49
1494979200,10195703.74
1494892800,6329566.18
1494806400,9452273.37
1494720000,3318382.54
1494633600,9261604.32
1494547200,11707076.3
1494460800,10908364.46
1494374400,14951566.8
1494288000,11886187.82
1494201600,6563584.25
1494115200,4259611.21
1494028800,5148178.86
1493942400,10458614.51
1493856000,9925826.48
1493769600,6930430.68
1493683200,4438986.41
1493596800,5228046.43
1493510400,3566722.08
1493424000,1849305.79
1493337600,6258335.37
1493251200,3852904.67
1493164800,6100850.1
1493078400,5844814.76
1492992000,5528818.46
1492905600,14781000.44
1492819200,6093584.41
1492732800,3112323.68
1492646400,2615516.09
1492560000,3494615.09
1492473600,1779067.12
1492387200,2298275.51
1492300800,972729.09
1492214400,1358276.09
1492128000,2548538.21
1492041600,3888938.23
1491955200,2773009.31
1491868800,1895697.55
1491782400,2814869.01
1491696000,2527008.16
1491609600,2204252.57
1491523200,4548007.56
1491436800,5881297.61
1491350400,5607600.76
1491264000,5505308.77
1491177600,6226850.05
1491091200,5574755.32
1491004800,3521955.68
1490918400,6736424.75
1490832000,6348522.21
1490745600,2578799.02
1490659200,3305716.64
1490572800,4783701.61
1490486400,3909765.7
1490400000,4714870.25
1490313600,7309213.1
1490227200,2188327.22
1490140800,5138082.04
1490054400,4124652.57
1489968000,2237303.59
1489881600,3772521.21
1489795200,9433069.78
1489708800,10117476.01
1489622400,5239993.43
1489536000,1543247.49
1489449600,2193258.33
1489363200,3173128.54
1489276800,2212892.54
1489190400,3167334.51
1489104000,8527189.23
1489017600,3538221.12
1488931200,7064600.43
1488844800,5782465.31
1488758400,2573215.47
1488672000,2144996.01
1488585600,2781355.15
1488499200,3375425.04
1488412800,4536297.65
1488326400,3028991.39
1488240000,2550671.89
1488153600,1851573.08
1488067200,1646455.12
1487980800,2916241.84
1487894400,6920527.88
1487808000,6544839.49
1487721600,4291719.83
1487635200,3968220.81
1487548800,1807282.87
1487462400,983702.42
1487376000,1376855.61
1487289600,5720727.52
1487203200,2596827.09
1487116800,1921679.69
1487030400,2820594.84
1486944000,2442672.19
1486857600,939971.37
1486771200,1896177.68
1486684800,3042115.88
1486598400,10099387.82
1486512000,4275902.73
1486425600,1562744.07
1486339200,839240.82
1486252800,1078413.73
1486166400,1414363.59
1486080000,2275052.2
1485993600,1247164.47
